epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
96,882.57,1.28559,0.90945,1.28194,0.73574,0.54167,0.59951,0.18508,2.50967,1.81147,2.46556,0.0004325,0.0004325,0.0004325
97,891.431,1.27442,0.89498,1.27857,0.81242,0.54167,0.61874,0.18105,2.53941,1.94067,2.51698,0.000416,0.000416,0.000416
98,900.232,1.30343,0.91883,1.28935,0.75797,0.54167,0.60038,0.17277,2.55755,1.90633,2.60328,0.0003995,0.0003995,0.0003995
99,909.426,1.34083,0.91586,1.28196,0.67512,0.60657,0.57078,0.16467,2.52822,1.8678,2.60246,0.000383,0.000383,0.000383
100,918.701,1.30355,0.90189,1.26261,0.59064,0.66667,0.59996,0.16237,2.51466,1.84518,2.56876,0.0003665,0.0003665,0.0003665
101,927.407,1.3055,0.90855,1.25688,0.62135,0.625,0.62263,0.18223,2.47437,1.80181,2.5481,0.00035,0.00035,0.00035
102,936.371,1.28049,0.91325,1.27438,0.70464,0.54167,0.61591,0.18855,2.48013,1.64469,2.54729,0.0003335,0.0003335,0.0003335
103,945.133,1.22702,0.89691,1.21437,0.71036,0.54167,0.58842,0.17355,2.49421,1.80318,2.56396,0.000317,0.000317,0.000317
104,953.798,1.24675,0.88996,1.24666,0.64443,0.5,0.49601,0.15935,2.44882,1.8578,2.55196,0.0003005,0.0003005,0.0003005
105,962.776,1.22981,0.86169,1.24428,0.70779,0.54167,0.56795,0.15879,2.46597,1.97407,2.68428,0.000284,0.000284,0.000284
106,971.956,1.33657,0.89892,1.27924,0.6227,0.58333,0.57627,0.15918,2.43214,2.01653,2.53943,0.0002675,0.0002675,0.0002675
107,980.436,1.24154,0.87767,1.22604,0.6996,0.58229,0.58574,0.16139,2.47758,1.92607,2.55914,0.000251,0.000251,0.000251
108,989.026,1.2933,0.87958,1.23808,0.63731,0.58333,0.58124,0.17352,2.46539,1.82714,2.57589,0.0002345,0.0002345,0.0002345
109,997.564,1.25431,0.9175,1.2573,0.62493,0.58333,0.59328,0.18204,2.45133,1.79806,2.53004,0.000218,0.000218,0.000218
110,1006.21,1.2201,0.8815,1.22759,0.77004,0.58333,0.66222,0.17621,2.49398,1.78712,2.57903,0.0002015,0.0002015,0.0002015
111,1055.32,1.27362,0.90575,1.2892,0.59301,0.625,0.5896,0.15755,2.51464,1.7608,2.63298,0.000185,0.000185,0.000185
112,1064,1.19424,0.85908,1.25757,0.5245,0.58333,0.51873,0.14836,2.46014,1.78513,2.58721,0.0001685,0.0001685,0.0001685
113,1072.77,1.2313,0.83674,1.27176,0.54686,0.58333,0.52725,0.15036,2.47312,1.76258,2.63472,0.000152,0.000152,0.000152
114,1081.66,1.20573,0.81478,1.25478,0.50462,0.67938,0.52091,0.13612,2.53667,1.79999,2.72602,0.0001355,0.0001355,0.0001355
115,1087.4,1.16959,0.81596,1.2504,0.6365,0.54167,0.53031,0.1523,2.53099,1.74534,2.70413,0.000119,0.000119,0.000119
116,1092.76,1.18626,0.80414,1.22593,0.51138,0.70833,0.51445,0.14043,2.52972,1.73822,2.6855,0.0001025,0.0001025,0.0001025
117,1100.95,1.1579,0.79296,1.25215,0.64649,0.58333,0.55156,0.15458,2.49657,1.82385,2.62659,8.6e-05,8.6e-05,8.6e-05
118,1109.8,1.15911,0.78885,1.23707,0.59,0.65976,0.53167,0.15088,2.53537,1.80719,2.72639,6.95e-05,6.95e-05,6.95e-05
119,1118.49,1.18254,0.79107,1.22756,0.57399,0.66667,0.5576,0.1516,2.52607,1.84637,2.71745,5.3e-05,5.3e-05,5.3e-05
120,1127.26,1.14234,0.77776,1.23435,0.60238,0.69469,0.56484,0.15508,2.48209,1.86336,2.64596,3.65e-05,3.65e-05,3.65e-05
